time (ms),ω (π/sec),Δθ (π),σ_θ (π),p (Mπ/sec),σ_p (Mπ/sec)
0.00e+00,0.00e+00,7.07e-17,1.35e-03,-3.23e-14,4.25e+01
1.00e+00,1.23e-02,-4.09e-06,1.35e-03,-1.23e-02,4.25e+01
2.00e+00,4.93e-02,-3.28e-05,1.35e-03,-4.93e-02,4.25e+01
3.00e+00,1.11e-01,-1.11e-04,1.35e-03,-1.11e-01,4.25e+01
4.00e+00,1.97e-01,-2.63e-04,1.35e-03,-1.97e-01,4.25e+01
5.00e+00,3.08e-01,-5.13e-04,1.35e-03,-3.08e-01,4.25e+01
6.00e+00,4.43e-01,-8.87e-04,1.35e-03,-4.43e-01,4.25e+01
7.00e+00,6.02e-01,-1.41e-03,1.35e-03,-6.02e-01,4.25e+01
8.00e+00,7.85e-01,-2.10e-03,1.35e-03,-7.85e-01,4.25e+01
9.00e+00,9.93e-01,-2.99e-03,1.35e-03,-9.93e-01,4.25e+01
1.00e+01,1.22e+00,-4.09e-03,1.35e-03,-1.22e+00,4.25e+01
1.10e+01,1.48e+00,-5.44e-03,1.35e-03,-1.48e+00,4.25e+01
1.20e+01,1.76e+00,-7.06e-03,1.35e-03,-1.76e+00,4.25e+01
1.30e+01,2.06e+00,-8.96e-03,1.35e-03,-2.06e+00,4.25e+01
1.40e+01,2.38e+00,-1.12e-02,1.35e-03,-2.38e+00,4.25e+01
1.50e+01,2.72e+00,-1.37e-02,1.35e-03,-2.72e+00,4.25e+01
1.60e+01,3.09e+00,-1.66e-02,1.35e-03,-3.09e+00,4.25e+01
1.70e+01,3.48e+00,-1.99e-02,1.35e-03,-3.48e+00,4.25e+01
1.80e+01,3.89e+00,-2.36e-02,1.35e-03,-3.89e+00,4.25e+01
1.90e+01,4.32e+00,-2.77e-02,1.35e-03,-4.32e+00,4.25e+01
2.00e+01,4.77e+00,-3.23e-02,1.35e-03,-4.77e+00,4.25e+01
2.10e+01,5.25e+00,-3.73e-02,1.35e-03,-5.25e+00,4.25e+01
2.20e+01,5.74e+00,-4.28e-02,1.35e-03,-5.74e+00,4.25e+01
2.30e+01,6.25e+00,-4.87e-02,1.35e-03,-6.25e+00,4.25e+01
2.40e+01,6.78e+00,-5.53e-02,1.35e-03,-6.78e+00,4.25e+01
2.50e+01,7.32e+00,-6.23e-02,1.35e-03,-7.32e+00,4.25e+01
2.60e+01,7.89e+00,-6.99e-02,1.35e-03,-7.89e+00,4.25e+01
2.70e+01,8.47e+00,-7.81e-02,1.35e-03,-8.47e+00,4.25e+01
2.80e+01,9.06e+00,-8.68e-02,1.35e-03,-9.06e+00,4.25e+01
2.90e+01,9.68e+00,-9.62e-02,1.35e-03,-9.68e+00,4.25e+01
3.00e+01,1.03e+01,-1.06e-01,1.35e-03,-1.03e+01,4.25e+01
3.10e+01,1.09e+01,-1.17e-01,1.35e-03,-1.09e+01,4.25e+01
3.20e+01,1.16e+01,-1.28e-01,1.35e-03,-1.16e+01,4.25e+01
3.30e+01,1.23e+01,-1.40e-01,1.35e-03,-1.23e+01,4.25e+01
3.40e+01,1.30e+01,-1.53e-01,1.35e-03,-1.30e+01,4.25e+01
3.50e+01,1.37e+01,-1.66e-01,1.35e-03,-1.37e+01,4.25e+01
3.60e+01,1.44e+01,-1.80e-01,1.35e-03,-1.44e+01,4.25e+01
3.70e+01,1.51e+01,-1.95e-01,1.35e-03,-1.51e+01,4.25e+01
3.80e+01,1.58e+01,-2.10e-01,1.35e-03,-1.58e+01,4.25e+01
3.90e+01,1.65e+01,-2.26e-01,1.35e-03,-1.65e+01,4.25e+01
4.00e+01,1.73e+01,-2.43e-01,1.35e-03,-1.73e+01,4.25e+01
4.10e+01,1.80e+01,-2.61e-01,1.35e-03,-1.80e+01,4.25e+01
4.20e+01,1.88e+01,-2.79e-01,1.35e-03,-1.88e+01,4.25e+01
4.30e+01,1.95e+01,-2.98e-01,1.35e-03,-1.95e+01,4.25e+01
4.40e+01,2.03e+01,-3.18e-01,1.35e-03,-2.03e+01,4.25e+01
4.50e+01,2.11e+01,-3.39e-01,1.35e-03,-2.11e+01,4.25e+01
4.60e+01,2.19e+01,-3.60e-01,1.35e-03,-2.19e+01,4.25e+01
4.70e+01,2.26e+01,-3.83e-01,1.35e-03,-2.26e+01,4.25e+01
4.80e+01,2.34e+01,-4.06e-01,1.35e-03,-2.34e+01,4.25e+01
4.90e+01,2.42e+01,-4.30e-01,1.35e-03,-2.42e+01,4.25e+01
5.00e+01,2.50e+01,-4.54e-01,1.35e-03,-2.50e+01,4.25e+01
5.10e+01,2.58e+01,-4.80e-01,1.35e-03,-2.58e+01,4.25e+01
5.20e+01,2.66e+01,-5.06e-01,1.35e-03,-2.66e+01,4.25e+01
5.30e+01,2.74e+01,-5.33e-01,1.35e-03,-2.74e+01,4.25e+01
5.40e+01,2.81e+01,-5.60e-01,1.35e-03,-2.81e+01,4.25e+01
5.50e+01,2.89e+01,-5.89e-01,1.35e-03,-2.89e+01,4.25e+01
5.60e+01,2.97e+01,-6.18e-01,1.35e-03,-2.97e+01,4.25e+01
5.70e+01,3.05e+01,-6.48e-01,1.35e-03,-3.05e+01,4.25e+01
5.80e+01,3.12e+01,-6.79e-01,1.35e-03,-3.12e+01,4.25e+01
5.90e+01,3.20e+01,-7.11e-01,1.35e-03,-3.20e+01,4.25e+01
6.00e+01,3.27e+01,-7.43e-01,1.35e-03,-3.27e+01,4.25e+01
6.10e+01,3.35e+01,-7.76e-01,1.35e-03,-3.35e+01,4.25e+01
6.20e+01,3.42e+01,-8.10e-01,1.35e-03,-3.42e+01,4.25e+01
6.30e+01,3.49e+01,-8.45e-01,1.35e-03,-3.49e+01,4.25e+01
6.40e+01,3.56e+01,-8.80e-01,1.35e-03,-3.56e+01,4.25e+01
6.50e+01,3.63e+01,-9.16e-01,1.35e-03,-3.63e+01,4.25e+01
6.60e+01,3.70e+01,-9.53e-01,1.35e-03,-3.70e+01,4.25e+01
6.70e+01,3.77e+01,-9.90e-01,1.35e-03,-3.77e+01,4.25e+01
6.80e+01,3.84e+01,-1.03e+00,1.35e-03,-3.84e+01,4.25e+01
6.90e+01,3.91e+01,-1.07e+00,1.35e-03,-3.91e+01,4.25e+01
7.00e+01,3.97e+01,-1.11e+00,1.35e-03,-3.97e+01,4.25e+01
7.10e+01,4.03e+01,-1.15e+00,1.35e-03,-4.03e+01,4.25e+01
7.20e+01,4.09e+01,-1.19e+00,1.35e-03,-4.09e+01,4.25e+01
7.30e+01,4.15e+01,-1.23e+00,1.35e-03,-4.15e+01,4.25e+01
7.40e+01,4.21e+01,-1.27e+00,1.35e-03,-4.21e+01,4.25e+01
7.50e+01,4.27e+01,-1.31e+00,1.35e-03,-4.27e+01,4.25e+01
7.60e+01,4.32e+01,-1.36e+00,1.35e-03,-4.32e+01,4.25e+01
7.70e+01,4.38e+01,-1.40e+00,1.35e-03,-4.38e+01,4.25e+01
7.80e+01,4.43e+01,-1.44e+00,1.35e-03,-4.43e+01,4.25e+01
7.90e+01,4.48e+01,-1.49e+00,1.35e-03,-4.48e+01,4.25e+01
8.00e+01,4.52e+01,-1.53e+00,1.35e-03,-4.52e+01,4.25e+01
8.10e+01,4.57e+01,-1.58e+00,1.35e-03,-4.57e+01,4.25e+01
8.20e+01,4.61e+01,-1.62e+00,1.35e-03,-4.61e+01,4.25e+01
8.30e+01,4.65e+01,-1.67e+00,1.35e-03,-4.65e+01,4.25e+01
8.40e+01,4.69e+01,-1.72e+00,1.35e-03,-4.69e+01,4.25e+01
8.50e+01,4.73e+01,-1.76e+00,1.35e-03,-4.73e+01,4.25e+01
8.60e+01,4.76e+01,-1.81e+00,1.35e-03,-4.76e+01,4.25e+01
8.70e+01,4.79e+01,-1.86e+00,1.35e-03,-4.79e+01,4.25e+01
8.80e+01,4.82e+01,-1.91e+00,1.35e-03,-4.82e+01,4.25e+01
8.90e+01,4.85e+01,-1.96e+00,1.35e-03,-4.85e+01,4.25e+01
9.00e+01,4.88e+01,-4.09e-03,1.35e-03,-4.88e+01,4.25e+01
9.10e+01,4.90e+01,-5.30e-02,1.35e-03,-4.90e+01,4.25e+01
9.20e+01,4.92e+01,-1.02e-01,1.35e-03,-4.92e+01,4.25e+01
9.30e+01,4.94e+01,-1.51e-01,1.35e-03,-4.94e+01,4.25e+01
9.40e+01,4.96e+01,-2.01e-01,1.35e-03,-4.96e+01,4.25e+01
9.50e+01,4.97e+01,-2.51e-01,1.35e-03,-4.97e+01,4.25e+01
9.60e+01,4.98e+01,-3.00e-01,1.35e-03,-4.98e+01,4.25e+01
9.70e+01,4.99e+01,-3.50e-01,1.35e-03,-4.99e+01,4.25e+01
9.80e+01,5.00e+01,-4.00e-01,1.35e-03,-5.00e+01,4.25e+01
9.90e+01,5.00e+01,-4.50e-01,1.35e-03,-5.00e+01,4.25e+01
1.00e+02,5.00e+01,-5.00e-01,1.35e-03,-5.00e+01,4.25e+01
1.01e+02,5.00e+01,-5.50e-01,1.35e-03,-5.00e+01,4.25e+01
1.02e+02,5.00e+01,-6.00e-01,1.35e-03,-5.00e+01,4.25e+01
1.03e+02,5.00e+01,-6.50e-01,1.35e-03,-5.00e+01,4.25e+01
1.04e+02,5.00e+01,-7.00e-01,1.34e-03,-5.00e+01,4.25e+01
1.05e+02,5.00e+01,-7.50e-01,1.34e-03,-5.00e+01,4.25e+01
1.06e+02,5.00e+01,-8.00e-01,1.34e-03,-5.00e+01,4.25e+01
1.07e+02,5.00e+01,-8.50e-01,1.34e-03,-5.00e+01,4.25e+01
1.08e+02,5.00e+01,-9.00e-01,1.34e-03,-5.00e+01,4.25e+01
1.09e+02,5.00e+01,-9.50e-01,1.34e-03,-5.00e+01,4.25e+01
