time (ms),ω (π/sec),Δθ (π),σ_θ (π),p (Mπ/sec),σ_p (Mπ/sec)
0.00e+00,0.00e+00,7.07e-17,1.35e-03,-3.23e-14,4.25e+01
1.00e+00,1.23e-02,2.46e-08,1.35e-03,2.93e-07,4.25e+01
2.00e+00,4.93e-02,4.92e-08,1.35e-03,1.15e-06,4.25e+01
3.00e+00,1.11e-01,7.38e-08,1.35e-03,2.57e-06,4.25e+01
4.00e+00,1.97e-01,9.83e-08,1.35e-03,4.49e-06,4.25e+01
5.00e+00,3.08e-01,1.23e-07,1.35e-03,6.88e-06,4.25e+01
6.00e+00,4.43e-01,1.47e-07,1.35e-03,9.68e-06,4.25e+01
7.00e+00,6.02e-01,1.71e-07,1.35e-03,1.28e-05,4.25e+01
8.00e+00,7.85e-01,1.95e-07,1.35e-03,1.62e-05,4.25e+01
9.00e+00,9.93e-01,2.19e-07,1.35e-03,1.97e-05,4.25e+01
1.00e+01,1.22e+00,2.43e-07,1.35e-03,2.34e-05,4.25e+01
1.10e+01,1.48e+00,2.66e-07,1.35e-03,2.70e-05,4.25e+01
1.20e+01,1.76e+00,2.89e-07,1.35e-03,3.05e-05,4.25e+01
1.30e+01,2.06e+00,3.12e-07,1.35e-03,3.37e-05,4.25e+01
1.40e+01,2.38e+00,3.35e-07,1.35e-03,3.67e-05,4.25e+01
1.50e+01,2.72e+00,3.57e-07,1.35e-03,3.94e-05,4.25e+01
1.60e+01,3.09e+00,3.79e-07,1.35e-03,4.15e-05,4.25e+01
1.70e+01,3.48e+00,4.01e-07,1.35e-03,4.32e-05,4.25e+01
1.80e+01,3.89e+00,4.22e-07,1.35e-03,4.43e-05,4.25e+01
1.90e+01,4.32e+00,4.43e-07,1.35e-03,4.49e-05,4.25e+01
2.00e+01,4.77e+00,4.63e-07,1.35e-03,4.48e-05,4.25e+01
2.10e+01,5.25e+00,4.83e-07,1.35e-03,4.41e-05,4.25e+01
2.20e+01,5.74e+00,5.03e-07,1.35e-03,4.27e-05,4.25e+01
2.30e+01,6.25e+00,5.21e-07,1.35e-03,4.08e-05,4.25e+01
2.40e+01,6.78e+00,5.40e-07,1.35e-03,3.83e-05,4.25e+01
2.50e+01,7.32e+00,5.58e-07,1.35e-03,3.53e-05,4.25e+01
2.60e+01,7.89e+00,5.75e-07,1.35e-03,3.19e-05,4.25e+01
2.70e+01,8.47e+00,5.92e-07,1.35e-03,2.81e-05,4.25e+01
2.80e+01,9.06e+00,6.08e-07,1.35e-03,2.39e-05,4.25e+01
2.90e+01,9.68e+00,6.23e-07,1.35e-03,1.96e-05,4.25e+01
3.00e+01,1.03e+01,6.38e-07,1.35e-03,1.51e-05,4.25e+01
3.10e+01,1.09e+01,6.53e-07,1.35e-03,1.06e-05,4.25e+01
3.20e+01,1.16e+01,6.66e-07,1.35e-03,6.19e-06,4.25e+01
3.30e+01,1.23e+01,6.79e-07,1.35e-03,1.92e-06,4.25e+01
3.40e+01,1.30e+01,6.91e-07,1.35e-03,-2.10e-06,4.25e+01
3.50e+01,1.37e+01,7.03e-07,1.35e-03,-5.79e-06,4.25e+01
3.60e+01,1.44e+01,7.13e-07,1.35e-03,-9.08e-06,4.25e+01
3.70e+01,1.51e+01,7.24e-07,1.35e-03,-1.19e-05,4.25e+01
3.80e+01,1.58e+01,7.33e-07,1.35e-03,-1.42e-05,4.25e+01
3.90e+01,1.65e+01,7.42e-07,1.35e-03,-1.59e-05,4.25e+01
4.00e+01,1.73e+01,7.49e-07,1.35e-03,-1.71e-05,4.25e+01
4.10e+01,1.80e+01,7.57e-07,1.35e-03,-1.76e-05,4.25e+01
4.20e+01,1.88e+01,7.63e-07,1.35e-03,-1.76e-05,4.25e+01
4.30e+01,1.95e+01,7.69e-07,1.35e-03,-1.70e-05,4.25e+01
4.40e+01,2.03e+01,7.74e-07,1.35e-03,-1.59e-05,4.25e+01
4.50e+01,2.11e+01,7.78e-07,1.35e-03,-1.42e-05,4.25e+01
4.60e+01,2.19e+01,7.81e-07,1.35e-03,-1.21e-05,4.25e+01
4.70e+01,2.26e+01,7.84e-07,1.35e-03,-9.69e-06,4.25e+01
4.80e+01,2.34e+01,7.86e-07,1.35e-03,-6.95e-06,4.25e+01
4.90e+01,2.42e+01,7.87e-07,1.35e-03,-4.00e-06,4.25e+01
5.00e+01,2.50e+01,7.87e-07,1.35e-03,-9.42e-07,4.25e+01
5.10e+01,2.58e+01,7.87e-07,1.35e-03,2.14e-06,4.25e+01
5.20e+01,2.66e+01,7.86e-07,1.35e-03,5.16e-06,4.25e+01
5.30e+01,2.74e+01,7.84e-07,1.35e-03,8.01e-06,4.25e+01
5.40e+01,2.81e+01,7.81e-07,1.35e-03,1.06e-05,4.25e+01
5.50e+01,2.89e+01,7.78e-07,1.35e-03,1.29e-05,4.25e+01
5.60e+01,2.97e+01,7.74e-07,1.35e-03,1.47e-05,4.25e+01
5.70e+01,3.05e+01,7.69e-07,1.35e-03,1.61e-05,4.25e+01
5.80e+01,3.12e+01,7.63e-07,1.35e-03,1.70e-05,4.25e+01
5.90e+01,3.20e+01,7.57e-07,1.35e-03,1.73e-05,4.25e+01
6.00e+01,3.27e+01,7.49e-07,1.35e-03,1.71e-05,4.25e+01
6.10e+01,3.35e+01,7.41e-07,1.35e-03,1.62e-05,4.25e+01
6.20e+01,3.42e+01,7.33e-07,1.35e-03,1.48e-05,4.25e+01
6.30e+01,3.49e+01,7.23e-07,1.35e-03,1.27e-05,4.25e+01
6.40e+01,3.56e+01,7.13e-07,1.35e-03,1.02e-05,4.25e+01
6.50e+01,3.63e+01,7.03e-07,1.35e-03,7.11e-06,4.25e+01
6.60e+01,3.70e+01,6.91e-07,1.35e-03,3.61e-06,4.25e+01
6.70e+01,3.77e+01,6.79e-07,1.35e-03,-2.55e-07,4.25e+01
6.80e+01,3.84e+01,6.66e-07,1.35e-03,-4.41e-06,4.25e+01
6.90e+01,3.91e+01,6.52e-07,1.35e-03,-8.76e-06,4.25e+01
7.00e+01,3.97e+01,6.38e-07,1.35e-03,-1.32e-05,4.25e+01
7.10e+01,4.03e+01,6.23e-07,1.35e-03,-1.77e-05,4.25e+01
7.20e+01,4.09e+01,6.08e-07,1.35e-03,-2.21e-05,4.25e+01
7.30e+01,4.15e+01,5.92e-07,1.35e-03,-2.64e-05,4.25e+01
7.40e+01,4.21e+01,5.75e-07,1.35e-03,-3.03e-05,4.25e+01
7.50e+01,4.27e+01,5.58e-07,1.35e-03,-3.40e-05,4.25e+01
7.60e+01,4.32e+01,5.40e-07,1.35e-03,-3.72e-05,4.25e+01
7.70e+01,4.38e+01,5.21e-07,1.35e-03,-3.99e-05,4.25e+01
7.80e+01,4.43e+01,5.03e-07,1.35e-03,-4.21e-05,4.25e+01
7.90e+01,4.48e+01,4.83e-07,1.35e-03,-4.37e-05,4.25e+01
8.00e+01,4.52e+01,4.63e-07,1.35e-03,-4.47e-05,4.25e+01
8.10e+01,4.57e+01,4.43e-07,1.35e-03,-4.51e-05,4.25e+01
8.20e+01,4.61e+01,4.22e-07,1.35e-03,-4.49e-05,4.25e+01
8.30e+01,4.65e+01,4.01e-07,1.35e-03,-4.40e-05,4.25e+01
8.40e+01,4.69e+01,3.79e-07,1.35e-03,-4.26e-05,4.25e+01
8.50e+01,4.73e+01,3.57e-07,1.35e-03,-4.07e-05,4.25e+01
8.60e+01,4.76e+01,3.35e-07,1.35e-03,-3.82e-05,4.25e+01
8.70e+01,4.79e+01,3.12e-07,1.35e-03,-3.54e-05,4.25e+01
8.80e+01,4.82e+01,2.89e-07,1.35e-03,-3.22e-05,4.25e+01
8.90e+01,4.85e+01,2.66e-07,1.35e-03,-2.88e-05,4.25e+01
9.00e+01,4.88e+01,2.43e-07,1.35e-03,-2.52e-05,4.25e+01
9.10e+01,4.90e+01,2.19e-07,1.35e-03,-2.16e-05,4.25e+01
9.20e+01,4.92e+01,1.95e-07,1.35e-03,-1.80e-05,4.25e+01
9.30e+01,4.94e+01,1.71e-07,1.35e-03,-1.45e-05,4.25e+01
9.40e+01,4.96e+01,1.47e-07,1.35e-03,-1.12e-05,4.25e+01
9.50e+01,4.97e+01,1.23e-07,1.35e-03,-8.26e-06,4.25e+01
9.60e+01,4.98e+01,9.83e-08,1.35e-03,-5.65e-06,4.25e+01
9.70e+01,4.99e+01,7.38e-08,1.35e-03,-3.48e-06,4.25e+01
9.80e+01,5.00e+01,4.92e-08,1.35e-03,-1.80e-06,4.25e+01
9.90e+01,5.00e+01,2.46e-08,1.35e-03,-6.56e-07,4.25e+01
1.00e+02,5.00e+01,-5.78e-11,1.35e-03,-7.17e-08,4.25e+01
1.01e+02,5.00e+01,-5.74e-11,1.35e-03,2.26e-07,4.25e+01
1.02e+02,5.00e+01,-5.55e-11,1.35e-03,5.17e-07,4.25e+01
1.03e+02,5.00e+01,-5.22e-11,1.35e-03,7.96e-07,4.25e+01
1.04e+02,5.00e+01,-4.76e-11,1.34e-03,1.06e-06,4.25e+01
1.05e+02,5.00e+01,-4.17e-11,1.34e-03,1.29e-06,4.25e+01
1.06e+02,5.00e+01,-3.47e-11,1.34e-03,1.49e-06,4.25e+01
1.07e+02,5.00e+01,-2.69e-11,1.34e-03,1.65e-06,4.25e+01
1.08e+02,5.00e+01,-1.83e-11,1.34e-03,1.77e-06,4.25e+01
1.09e+02,5.00e+01,-9.15e-12,1.34e-03,1.85e-06,4.25e+01
1.10e+02,5.00e+01,2.21e-13,1.34e-03,1.88e-06,4.25e+01
1.11e+02,5.00e+01,9.64e-12,1.34e-03,1.87e-06,4.25e+01
1.12e+02,5.00e+01,1.89e-11,1.34e-03,1.81e-06,4.25e+01
1.13e+02,5.00e+01,2.77e-11,1.34e-03,1.70e-06,4.25e+01
1.14e+02,5.00e+01,3.58e-11,1.34e-03,1.55e-06,4.25e+01
1.15e+02,5.00e+01,4.31e-11,1.34e-03,1.36e-06,4.25e+01
1.16e+02,5.00e+01,4.94e-11,1.34e-03,1.14e-06,4.25e+01
1.17e+02,5.00e+01,5.45e-11,1.35e-03,8.88e-07,4.25e+01
1.18e+02,5.00e+01,5.82e-11,1.35e-03,6.15e-07,4.25e+01
1.19e+02,5.00e+01,6.06e-11,1.35e-03,3.27e-07,4.25e+01
1.20e+02,5.00e+01,6.15e-11,1.35e-03,3.08e-08,4.25e+01
1.21e+02,5.00e+01,6.09e-11,1.35e-03,-2.66e-07,4.25e+01
