Ω (rad/s),|c₋|²
0.000000,0.000195
0.007854,0.039234
0.015708,0.150777
0.023562,0.317124
0.031416,0.512168
0.039270,0.705361
0.047124,0.866238
0.054978,0.969646
0.062832,0.999360
0.070686,0.950715
0.078540,0.831304
0.086394,0.659913
0.094248,0.463418
0.102102,0.272662
0.109956,0.117580
0.117810,0.022512
0.125664,0.002378
0.133518,0.060339
0.141372,0.187296
0.149226,0.363326
0.157080,0.560892
0.164934,0.748787
0.172788,0.897648
0.180642,0.984112
0.188496,0.994611
0.196350,0.927496
0.204204,0.793300
0.212058,0.613084
0.219911,0.415134
0.227765,0.230513
0.235619,0.088199
0.243473,0.010525
0.251327,0.009683
0.259181,0.085804
0.267035,0.226942
0.274889,0.410946
0.282743,0.608938
0.290597,0.789846
0.298451,0.925275
0.306305,0.993973
0.314159,0.985146
0.322013,0.900183
0.329867,0.752412
0.337721,0.565021
0.345575,0.367423
0.353429,0.190626
0.361283,0.062380
0.369137,0.002810
0.376991,0.021267
0.384845,0.114854
0.392699,0.268882
0.400553,0.459178
0.408407,0.655876
0.416261,0.828107
0.424115,0.948842
0.431969,0.999126
0.439823,0.971074
0.447677,0.869086
0.455531,0.709169
0.463385,0.516419
0.471239,0.321089
0.479093,0.153833
0.486947,0.040902
0.494801,0.000018
0.502655,0.037599
0.510509,0.147746
0.518363,0.313172
0.526217,0.507917
0.534071,0.701413
0.541925,0.863296
0.549779,0.968158
0.557633,0.999542
0.565487,0.952521
0.573341,0.834479
0.581195,0.663935
0.589049,0.467660
0.596903,0.276457
0.604757,0.120333
0.612611,0.023791
0.620465,0.002176
0.628319,0.058513
0.636173,0.184150
0.644026,0.359368
0.651880,0.556670
0.659734,0.745090
0.667588,0.895056
