Ω (rad/s),|c₋|²
0.000000,-0.000000
0.007854,0.038305
0.015708,0.147352
0.023562,0.310431
0.031416,0.502557
0.039270,0.694291
0.047124,0.856255
0.054978,0.963634
0.062832,0.999974
0.070686,0.959708
0.078540,0.849005
0.086394,0.684827
0.094248,0.492330
0.102102,0.301008
0.109956,0.140176
0.117810,0.034476
0.125664,0.000105
0.133518,0.042328
0.141372,0.154676
0.149226,0.319934
0.157080,0.512783
0.164934,0.703673
0.172787,0.863356
0.180641,0.967366
0.188495,0.999765
0.196349,0.955589
0.204203,0.841608
0.212057,0.675286
0.219911,0.482105
0.227765,0.291667
0.235619,0.133150
0.243473,0.030842
0.251327,0.000418
0.259181,0.046541
0.267035,0.162144
0.274889,0.329513
0.282743,0.523004
0.290597,0.712971
0.298451,0.870306
0.306305,0.970902
0.314159,0.999346
0.322013,0.951280
0.329867,0.834069
0.337721,0.665671
0.345575,0.471889
0.353429,0.282414
0.361283,0.126278
0.369137,0.027404
0.376991,0.000941
0.384845,0.050945
0.392699,0.169753
0.400553,0.339163
0.408407,0.533215
0.416261,0.722179
0.424115,0.877100
0.431969,0.974241
0.439823,0.998719
0.447677,0.946783
0.455531,0.826390
0.463385,0.655987
0.471239,0.461684
0.479093,0.273252
0.486947,0.119562
0.494801,0.024163
0.502654,0.001673
0.510508,0.055536
0.518362,0.177501
0.526216,0.348880
0.534070,0.543413
0.541924,0.731294
0.549778,0.883736
0.557632,0.977382
0.565486,0.997883
0.573340,0.942098
0.581194,0.818574
0.589048,0.646238
0.596902,0.451495
0.604756,0.264184
0.612610,0.113005
0.620464,0.021122
0.628318,0.002613
0.636172,0.060314
0.644026,0.185384
0.651880,0.358660
0.659734,0.553592
0.667588,0.740313
