Ω (rad/s),|c₋|²
0.000000,0.000000
0.001338,0.000056
0.002676,0.000223
0.004014,0.000502
0.005351,0.000892
0.006689,0.001393
0.008027,0.002006
0.009365,0.002729
0.010703,0.003564
0.012041,0.004509
0.013379,0.005565
0.014716,0.006731
0.016054,0.008007
0.017392,0.009393
0.018730,0.010888
0.020068,0.012492
0.021406,0.014205
0.022743,0.016027
0.024081,0.017956
0.025419,0.019993
0.026757,0.022136
0.028095,0.024387
0.029433,0.026743
0.030771,0.029205
0.032108,0.031772
0.033446,0.034443
0.034784,0.037219
0.036122,0.040097
0.037460,0.043078
0.038798,0.046161
0.040136,0.049345
0.041473,0.052630
0.042811,0.056014
0.044149,0.059497
0.045487,0.063079
0.046825,0.066758
0.048163,0.070534
0.049501,0.074405
0.050838,0.078372
0.052176,0.082432
0.053514,0.086585
0.054852,0.090831
0.056190,0.095168
0.057528,0.099595
0.058866,0.104112
0.060203,0.108717
0.061541,0.113409
0.062879,0.118187
0.064217,0.123051
0.065555,0.127998
0.066893,0.133029
0.068230,0.138141
0.069568,0.143334
0.070906,0.148606
0.072244,0.153957
0.073582,0.159385
0.074920,0.164889
0.076258,0.170468
0.077595,0.176121
0.078933,0.181845
0.080271,0.187640
0.081609,0.193506
0.082947,0.199439
0.084285,0.205440
0.085623,0.211506
0.086960,0.217636
0.088298,0.223830
0.089636,0.230085
0.090974,0.236400
0.092312,0.242774
0.093650,0.249206
0.094988,0.255693
0.096325,0.262235
0.097663,0.268830
0.099001,0.275476
0.100339,0.282173
0.101677,0.288918
0.103015,0.295710
0.104353,0.302548
0.105690,0.309429
0.107028,0.316354
0.108366,0.323319
0.109704,0.330323
0.111042,0.337366
0.112380,0.344445
0.113717,0.351558
0.115055,0.358704
0.116393,0.365882
0.117731,0.373090
0.119069,0.380327
0.120407,0.387590
0.121745,0.394877
0.123082,0.402189
0.124420,0.409522
0.125758,0.416876
0.127096,0.424248
0.128434,0.431636
0.129772,0.439040
0.131110,0.446458
0.132447,0.453888
0.133785,0.461328
0.135123,0.468776
0.136461,0.476232
0.137799,0.483693
0.139137,0.491157
0.140475,0.498623
0.141812,0.506090
0.143150,0.513556
0.144488,0.521018
0.145826,0.528476
0.147164,0.535927
0.148502,0.543370
0.149839,0.550804
0.151177,0.558226
0.152515,0.565635
0.153853,0.573030
0.155191,0.580408
0.156529,0.587769
0.157867,0.595110
0.159204,0.602429
0.160542,0.609726
0.161880,0.616998
0.163218,0.624245
0.164556,0.631463
0.165894,0.638653
0.167232,0.645811
0.168569,0.652937
0.169907,0.660028
0.171245,0.667084
0.172583,0.674103
0.173921,0.681083
0.175259,0.688022
0.176597,0.694920
0.177934,0.701774
0.179272,0.708583
0.180610,0.715346
0.181948,0.722060
0.183286,0.728726
0.184624,0.735340
0.185962,0.741901
0.187299,0.748409
0.188637,0.754861
0.189975,0.761256
0.191313,0.767594
0.192651,0.773871
0.193989,0.780087
0.195326,0.786241
0.196664,0.792331
0.198002,0.798356
0.199340,0.804315
0.200678,0.810205
0.202016,0.816026
0.203354,0.821777
0.204691,0.827456
0.206029,0.833062
0.207367,0.838594
0.208705,0.844050
0.210043,0.849430
0.211381,0.854731
0.212719,0.859954
0.214056,0.865096
0.215394,0.870157
0.216732,0.875135
0.218070,0.880030
0.219408,0.884839
0.220746,0.889563
0.222084,0.894200
0.223421,0.898750
0.224759,0.903210
0.226097,0.907580
0.227435,0.911860
0.228773,0.916047
0.230111,0.920142
0.231448,0.924143
0.232786,0.928050
0.234124,0.931861
0.235462,0.935576
0.236800,0.939193
0.238138,0.942713
0.239476,0.946134
0.240813,0.949456
0.242151,0.952677
0.243489,0.955797
0.244827,0.958816
0.246165,0.961732
0.247503,0.964545
0.248841,0.967255
0.250178,0.969861
0.251516,0.972361
0.252854,0.974757
0.254192,0.977046
0.255530,0.979229
0.256868,0.981306
0.258206,0.983275
0.259543,0.985136
0.260881,0.986889
0.262219,0.988533
0.263557,0.990069
0.264895,0.991495
0.266233,0.992811
0.267571,0.994018
0.268908,0.995114
0.270246,0.996100
0.271584,0.996976
0.272922,0.997740
0.274260,0.998394
0.275598,0.998936
0.276935,0.999367
0.278273,0.999687
0.279611,0.999896
0.280949,0.999992
0.282287,0.999978
0.283625,0.999852
0.284963,0.999614
0.286300,0.999265
0.287638,0.998805
0.288976,0.998233
0.290314,0.997550
0.291652,0.996757
0.292990,0.995852
0.294328,0.994837
0.295665,0.993712
0.297003,0.992476
0.298341,0.991131
0.299679,0.989676
0.301017,0.988112
0.302355,0.986439
0.303693,0.984658
0.305030,0.982768
0.306368,0.980771
0.307706,0.978666
0.309044,0.976455
0.310382,0.974138
0.311720,0.971715
0.313058,0.969187
0.314395,0.966554
0.315733,0.963817
0.317071,0.960976
0.318409,0.958033
0.319747,0.954988
0.321085,0.951841
0.322422,0.948593
0.323760,0.945245
0.325098,0.941798
0.326436,0.938253
0.327774,0.934610
0.329112,0.930870
0.330450,0.927033
0.331787,0.923102
0.333125,0.919076
0.334463,0.914957
0.335801,0.910745
0.337139,0.906442
0.338477,0.902047
0.339815,0.897564
0.341152,0.892991
0.342490,0.888331
0.343828,0.883585
0.345166,0.878753
0.346504,0.873836
0.347842,0.868836
0.349180,0.863754
0.350517,0.858590
0.351855,0.853347
0.353193,0.848025
0.354531,0.842625
0.355869,0.837149
0.357207,0.831597
0.358544,0.825972
0.359882,0.820274
0.361220,0.814505
0.362558,0.808665
0.363896,0.802757
0.365234,0.796781
0.366572,0.790738
0.367909,0.784632
0.369247,0.778461
0.370585,0.772229
0.371923,0.765935
0.373261,0.759583
0.374599,0.753172
0.375937,0.746705
0.377274,0.740183
0.378612,0.733608
0.379950,0.726980
0.381288,0.720302
0.382626,0.713575
0.383964,0.706800
0.385302,0.699979
0.386639,0.693113
0.387977,0.686204
0.389315,0.679254
0.390653,0.672264
0.391991,0.665235
0.393329,0.658170
0.394667,0.651069
0.396004,0.643934
0.397342,0.636768
0.398680,0.629571
0.400018,0.622345
0.401356,0.615091
0.402694,0.607813
0.404031,0.600510
0.405369,0.593184
0.406707,0.585838
0.408045,0.578473
0.409383,0.571090
0.410721,0.563691
0.412059,0.556278
0.413396,0.548853
0.414734,0.541417
0.416072,0.533971
0.417410,0.526518
0.418748,0.519059
0.420086,0.511596
0.421424,0.504130
0.422761,0.496663
0.424099,0.489197
0.425437,0.481733
0.426775,0.474274
0.428113,0.466820
0.429451,0.459373
0.430789,0.451936
0.432126,0.444509
0.433464,0.437095
0.434802,0.429695
0.436140,0.422310
0.437478,0.414943
0.438816,0.407595
0.440153,0.400267
0.441491,0.392962
0.442829,0.385680
0.444167,0.378424
0.445505,0.371195
0.446843,0.363995
0.448181,0.356825
0.449518,0.349687
0.450856,0.342582
0.452194,0.335513
0.453532,0.328480
0.454870,0.321486
0.456208,0.314531
0.457546,0.307618
0.458883,0.300748
0.460221,0.293922
0.461559,0.287142
0.462897,0.280410
0.464235,0.273726
0.465573,0.267093
0.466911,0.260512
0.468248,0.253984
0.469586,0.247511
0.470924,0.241095
0.472262,0.234736
0.473600,0.228437
0.474938,0.222198
0.476276,0.216020
0.477613,0.209907
0.478951,0.203858
0.480289,0.197875
0.481627,0.191959
0.482965,0.186112
0.484303,0.180335
0.485640,0.174629
0.486978,0.168996
0.488316,0.163437
0.489654,0.157953
0.490992,0.152545
0.492330,0.147214
0.493668,0.141963
0.495005,0.136791
0.496343,0.131700
0.497681,0.126691
0.499019,0.121765
0.500357,0.116924
0.501695,0.112168
0.503033,0.107499
0.504370,0.102917
0.505708,0.098424
0.507046,0.094021
0.508384,0.089707
0.509722,0.085486
0.511060,0.081357
0.512398,0.077321
0.513735,0.073379
0.515073,0.069533
0.516411,0.065783
0.517749,0.062129
0.519087,0.058573
0.520425,0.055116
0.521763,0.051758
0.523100,0.048499
0.524438,0.045342
0.525776,0.042285
0.527114,0.039331
0.528452,0.036480
0.529790,0.033732
0.531127,0.031088
0.532465,0.028549
0.533803,0.026114
0.535141,0.023786
0.536479,0.021563
0.537817,0.019447
0.539155,0.017439
0.540492,0.015538
0.541830,0.013745
0.543168,0.012061
0.544506,0.010485
0.545844,0.009018
0.547182,0.007661
0.548520,0.006414
0.549857,0.005277
0.551195,0.004250
0.552533,0.003334
0.553871,0.002529
0.555209,0.001834
0.556547,0.001251
0.557885,0.000779
0.559222,0.000418
0.560560,0.000168
0.561898,0.000030
0.563236,0.000004
0.564574,0.000089
0.565912,0.000285
0.567249,0.000593
0.568587,0.001013
0.569925,0.001543
0.571263,0.002185
0.572601,0.002938
0.573939,0.003802
0.575277,0.004776
0.576614,0.005861
0.577952,0.007056
0.579290,0.008360
0.580628,0.009775
0.581966,0.011299
0.583304,0.012932
0.584642,0.014673
0.585979,0.016523
0.587317,0.018480
0.588655,0.020545
0.589993,0.022717
0.591331,0.024995
0.592669,0.027379
0.594007,0.029869
0.595344,0.032463
0.596682,0.035162
0.598020,0.037965
0.599358,0.040870
