Ω (rad/s),|c₋|²
0.000000,0.000000
0.003355,0.000350
0.006709,0.001398
0.010064,0.003143
0.013419,0.005583
0.016774,0.008715
0.020128,0.012533
0.023483,0.017034
0.026838,0.022209
0.030192,0.028052
0.033547,0.034556
0.036902,0.041710
0.040257,0.049505
0.043611,0.057930
0.046966,0.066973
0.050321,0.076622
0.053675,0.086863
0.057030,0.097681
0.060385,0.109062
0.063740,0.120990
0.067094,0.133447
0.070449,0.146417
0.073804,0.159882
0.077158,0.173822
0.080513,0.188218
0.083868,0.203050
0.087223,0.218298
0.090577,0.233939
0.093932,0.249952
0.097287,0.266315
0.100641,0.283005
0.103996,0.299998
0.107351,0.317271
0.110706,0.334799
0.114060,0.352558
0.117415,0.370524
0.120770,0.388670
0.124124,0.406973
0.127479,0.425405
0.130834,0.443941
0.134189,0.462556
0.137543,0.481224
0.140898,0.499917
0.144253,0.518611
0.147607,0.537279
0.150962,0.555894
0.154317,0.574431
0.157672,0.592865
0.161026,0.611168
0.164381,0.629316
0.167736,0.647283
0.171090,0.665045
0.174445,0.682575
0.177800,0.699850
0.181155,0.716846
0.184509,0.733538
0.187864,0.749904
0.191219,0.765921
0.194573,0.781566
0.197928,0.796816
0.201283,0.811652
0.204638,0.826053
0.207992,0.839997
0.211347,0.853466
0.214702,0.866440
0.218056,0.878902
0.221411,0.890835
0.224766,0.902220
0.228121,0.913044
0.231475,0.923290
0.234830,0.932944
0.238185,0.941992
0.241539,0.950423
0.244894,0.958224
0.248249,0.965384
0.251604,0.971893
0.254958,0.977742
0.258313,0.982924
0.261668,0.987430
0.265022,0.991254
0.268377,0.994392
0.271732,0.996838
0.275087,0.998590
0.278441,0.999644
0.281796,1.000000
0.285151,0.999657
0.288505,0.998615
0.291860,0.996875
0.295215,0.994441
0.298570,0.991316
0.301924,0.987503
0.305279,0.983009
0.308634,0.977840
0.311988,0.972002
0.315343,0.965505
0.318698,0.958356
0.322053,0.950567
0.325407,0.942147
0.328762,0.933109
0.332117,0.923466
0.335471,0.913230
0.338826,0.902417
0.342181,0.891041
0.345535,0.879118
0.348890,0.866665
0.352245,0.853700
0.355600,0.840240
0.358954,0.826304
0.362309,0.811911
0.365664,0.797083
0.369018,0.781839
0.372373,0.766201
0.375728,0.750191
0.379083,0.733831
0.382437,0.717144
0.385792,0.700154
0.389147,0.682883
0.392501,0.665357
0.395856,0.647600
0.399211,0.629636
0.402566,0.611491
0.405920,0.593190
0.409275,0.574759
0.412630,0.556223
0.415984,0.537609
0.419339,0.518942
0.422694,0.500248
0.426049,0.481555
0.429403,0.462887
0.432758,0.444271
0.436113,0.425732
0.439467,0.407298
0.442822,0.388993
0.446177,0.370844
0.449532,0.352875
0.452886,0.335112
0.456241,0.317579
0.459596,0.300302
0.462950,0.283303
0.466305,0.266608
0.469660,0.250239
0.473015,0.234219
0.476369,0.218571
0.479724,0.203317
0.483079,0.188477
0.486433,0.174073
0.489788,0.160125
0.493143,0.146652
0.496498,0.133673
0.499852,0.121206
0.503207,0.109269
0.506562,0.097878
0.509916,0.087050
0.513271,0.076798
0.516626,0.067139
0.519981,0.058085
0.523335,0.049649
0.526690,0.041843
0.530045,0.034677
0.533399,0.028162
0.536754,0.022307
0.540109,0.017119
0.543464,0.012607
0.546818,0.008777
0.550173,0.005633
0.553528,0.003180
0.556882,0.001423
0.560237,0.000362
0.563592,0.000000
0.566947,0.000337
0.570301,0.001373
0.573656,0.003106
0.577011,0.005534
0.580365,0.008653
0.583720,0.012460
0.587075,0.016948
0.590430,0.022111
0.593784,0.027943
0.597139,0.034435
0.600494,0.041578
0.603848,0.049362
0.607203,0.057776
0.610558,0.066808
0.613913,0.076446
0.617267,0.086676
0.620622,0.097485
0.623977,0.108856
0.627331,0.120774
0.630686,0.133222
0.634041,0.146183
0.637396,0.159639
0.640750,0.173571
0.644105,0.187959
0.647460,0.202784
0.650814,0.218024
0.654169,0.233659
0.657524,0.249665
0.660879,0.266022
0.664233,0.282706
0.667588,0.299694
