time (ms),Δθ (π),σ_θ (π)
0.000,0.000,2.450e-03
0.015,-0.000,2.450e-03
0.030,-0.000,2.450e-03
0.045,-0.000,2.450e-03
0.060,-0.000,2.450e-03
0.075,-0.000,2.450e-03
0.090,-0.000,2.450e-03
0.105,-0.000,2.450e-03
0.120,-0.000,2.450e-03
0.135,-0.000,2.450e-03
0.150,-0.000,2.451e-03
0.350,-0.011,2.457e-03
0.550,-0.029,2.451e-03
0.750,-0.033,2.447e-03
0.949,-0.039,2.470e-03
1.149,-0.057,2.428e-03
1.349,-0.066,2.475e-03
1.549,-0.069,2.446e-03
1.749,-0.085,2.437e-03
1.949,-0.098,2.492e-03
2.149,-0.100,2.406e-03
2.349,-0.112,2.490e-03
2.548,-0.129,2.448e-03
2.748,-0.132,2.422e-03
2.948,-0.140,2.516e-03
3.148,-0.158,2.385e-03
3.348,-0.165,2.500e-03
3.548,-0.169,2.456e-03
3.748,-0.185,2.402e-03
3.948,-0.198,2.541e-03
4.147,-0.199,2.368e-03
4.347,-0.212,2.505e-03
4.547,-0.229,2.471e-03
4.747,-0.232,2.379e-03
4.947,-0.240,2.567e-03
5.147,-0.258,2.355e-03
5.347,-0.264,2.505e-03
5.546,-0.269,2.492e-03
5.746,-0.286,2.354e-03
5.946,-0.297,2.592e-03
6.146,-0.299,2.347e-03
6.346,-0.313,2.498e-03
6.546,-0.328,2.518e-03
6.746,-0.331,2.326e-03
6.946,-0.340,2.615e-03
7.145,-0.358,2.346e-03
7.345,-0.364,2.486e-03
7.545,-0.369,2.548e-03
7.745,-0.386,2.298e-03
7.945,-0.396,2.634e-03
8.145,-0.399,2.351e-03
8.345,-0.414,2.469e-03
8.545,-0.428,2.582e-03
8.744,-0.430,2.271e-03
8.944,-0.441,2.650e-03
9.144,-0.458,2.364e-03
9.344,-0.463,2.445e-03
9.544,-0.469,2.618e-03
9.744,-0.487,2.246e-03
9.944,-0.496,2.661e-03
10.143,-0.498,2.384e-03
10.343,-0.514,2.417e-03
10.543,-0.528,2.656e-03
10.743,-0.530,2.224e-03
10.943,-0.541,2.667e-03
11.143,-0.558,2.412e-03
11.343,-0.562,2.384e-03
11.543,-0.569,2.694e-03
11.742,-0.587,2.207e-03
11.942,-0.595,2.666e-03
12.142,-0.598,2.446e-03
12.342,-0.615,2.347e-03
12.542,-0.627,2.730e-03
12.742,-0.629,2.197e-03
12.942,-0.642,2.659e-03
13.142,-0.658,2.486e-03
13.341,-0.661,2.307e-03
13.541,-0.670,2.764e-03
13.741,-0.688,2.195e-03
13.941,-0.694,2.646e-03
14.141,-0.698,2.532e-03
14.341,-0.716,2.266e-03
14.541,-0.727,2.795e-03
14.741,-0.729,2.200e-03
14.940,-0.743,2.626e-03
15.140,-0.758,2.582e-03
15.340,-0.761,2.225e-03
15.540,-0.770,2.821e-03
15.740,-0.788,2.215e-03
15.940,-0.793,2.599e-03
16.140,-0.798,2.634e-03
16.339,-0.816,2.185e-03
16.539,-0.826,2.843e-03
16.739,-0.828,2.240e-03
16.939,-0.843,2.565e-03
17.139,-0.858,2.688e-03
17.339,-0.860,2.148e-03
17.539,-0.871,2.858e-03
17.739,-0.888,2.273e-03
17.938,-0.893,2.526e-03
18.138,-0.899,2.743e-03
18.338,-0.917,2.116e-03
18.538,-0.925,2.867e-03
18.738,-0.928,2.316e-03
18.938,-0.944,2.481e-03
19.138,-0.957,2.797e-03
19.338,-0.959,2.091e-03
19.537,-0.971,2.868e-03
19.737,-0.988,2.366e-03
19.937,-0.992,2.431e-03
20.137,-0.999,2.848e-03
20.337,-1.017,2.073e-03
20.537,-1.025,2.863e-03
20.737,-1.028,2.423e-03
20.936,-1.045,2.378e-03
21.136,-1.057,2.897e-03
21.336,-1.059,2.066e-03
21.536,-1.072,2.849e-03
21.736,-1.088,2.487e-03
21.936,-1.091,2.323e-03
22.136,-1.099,2.941e-03
22.336,-1.117,2.069e-03
22.535,-1.124,2.828e-03
22.735,-1.128,2.555e-03
22.935,-1.145,2.267e-03
23.135,-1.156,2.980e-03
23.335,-1.159,2.084e-03
23.535,-1.172,2.799e-03
23.735,-1.188,2.625e-03
23.935,-1.190,2.211e-03
24.134,-1.200,3.013e-03
24.334,-1.218,2.111e-03
24.534,-1.223,2.762e-03
24.734,-1.228,2.698e-03
24.934,-1.246,2.158e-03
25.134,-1.256,3.039e-03
25.334,-1.258,2.149e-03
25.533,-1.273,2.719e-03
25.733,-1.287,2.770e-03
25.933,-1.290,2.110e-03
26.133,-1.300,3.057e-03
26.333,-1.318,2.199e-03
