time (ms),ω (π/sec),Δθ (π),σ_θ (π),p (Mπ/sec),σ_p (Mπ/sec)
0.000,0.000e+00,3.534e-17,2.450e-03,-6.702e-14,2.331e+01
0.002,1.237e-02,6.148e-09,2.450e-03,1.237e-02,2.331e+01
0.003,4.936e-02,4.930e-08,2.450e-03,4.936e-02,2.331e+01
0.004,1.110e-01,1.664e-07,2.450e-03,1.110e-01,2.331e+01
0.006,1.972e-01,3.943e-07,2.450e-03,1.971e-01,2.331e+01
0.007,3.078e-01,7.698e-07,2.450e-03,3.077e-01,2.331e+01
0.009,4.428e-01,1.329e-06,2.450e-03,4.426e-01,2.331e+01
0.011,6.021e-01,2.110e-06,2.450e-03,6.016e-01,2.331e+01
0.012,7.855e-01,3.146e-06,2.450e-03,7.846e-01,2.331e+01
0.013,9.927e-01,4.475e-06,2.450e-03,9.913e-01,2.331e+01
0.015,1.224e+00,6.132e-06,2.450e-03,1.222e+00,2.331e+01
0.017,1.478e+00,8.151e-06,2.450e-03,1.475e+00,2.331e+01
0.018,1.756e+00,1.057e-05,2.450e-03,1.751e+00,2.331e+01
0.019,2.056e+00,1.342e-05,2.450e-03,2.050e+00,2.331e+01
0.021,2.379e+00,1.673e-05,2.450e-03,2.371e+00,2.331e+01
0.022,2.725e+00,2.054e-05,2.450e-03,2.714e+00,2.331e+01
0.024,3.092e+00,2.488e-05,2.450e-03,3.079e+00,2.331e+01
0.025,3.481e+00,2.979e-05,2.450e-03,3.464e+00,2.331e+01
0.027,3.892e+00,3.529e-05,2.450e-03,3.870e+00,2.331e+01
0.029,4.323e+00,4.141e-05,2.450e-03,4.296e+00,2.331e+01
0.030,4.775e+00,4.818e-05,2.450e-03,4.742e+00,2.331e+01
0.032,5.246e+00,5.564e-05,2.450e-03,5.206e+00,2.331e+01
0.033,5.737e+00,6.381e-05,2.450e-03,5.689e+00,2.331e+01
0.035,6.247e+00,7.272e-05,2.450e-03,6.190e+00,2.331e+01
0.036,6.776e+00,8.239e-05,2.450e-03,6.708e+00,2.331e+01
0.037,7.322e+00,9.285e-05,2.450e-03,7.243e+00,2.331e+01
0.039,7.886e+00,1.041e-04,2.450e-03,7.793e+00,2.331e+01
0.041,8.467e+00,1.162e-04,2.450e-03,8.359e+00,2.331e+01
0.042,9.064e+00,1.292e-04,2.450e-03,8.940e+00,2.331e+01
0.043,9.677e+00,1.431e-04,2.450e-03,9.534e+00,2.331e+01
0.045,1.031e+01,1.578e-04,2.450e-03,1.014e+01,2.331e+01
0.046,1.095e+01,1.735e-04,2.450e-03,1.076e+01,2.331e+01
0.048,1.160e+01,1.901e-04,2.450e-03,1.139e+01,2.331e+01
0.050,1.227e+01,2.077e-04,2.450e-03,1.204e+01,2.331e+01
0.051,1.296e+01,2.262e-04,2.450e-03,1.269e+01,2.331e+01
0.052,1.365e+01,2.458e-04,2.450e-03,1.335e+01,2.331e+01
0.054,1.436e+01,2.663e-04,2.450e-03,1.402e+01,2.331e+01
0.056,1.507e+01,2.878e-04,2.450e-03,1.470e+01,2.331e+01
