time (ms),ω (π/sec),Δθ (π),σ_θ (π),p (Mπ/sec),σ_p (Mπ/sec)
0.000,7.464e-32,3.534e-17,2.450e-03,-6.702e-14,2.331e+01
0.002,1.431e-02,-6.331e-14,2.450e-03,-2.229e-07,2.331e+01
0.003,8.123e-02,-2.349e-12,2.450e-03,-4.197e-06,2.331e+01
0.004,2.823e-01,-2.146e-11,2.450e-03,-2.689e-05,2.331e+01
0.006,7.847e-01,-1.129e-10,2.450e-03,-1.120e-04,2.331e+01
0.007,1.883e+00,-4.394e-10,2.450e-03,-3.667e-04,2.331e+01
0.009,4.043e+00,-1.408e-09,2.450e-03,-1.022e-03,2.331e+01
0.011,7.923e+00,-3.922e-09,2.450e-03,-2.530e-03,2.331e+01
0.012,1.436e+01,-9.808e-09,2.450e-03,-5.693e-03,2.331e+01
0.013,2.429e+01,-2.246e-08,2.450e-03,-1.184e-02,2.331e+01
0.015,3.857e+01,-4.779e-08,2.450e-03,-2.300e-02,2.331e+01
0.017,5.778e+01,-9.537e-08,2.450e-03,-4.209e-02,2.331e+01
0.018,8.198e+01,-1.799e-07,2.450e-03,-7.302e-02,2.331e+01
0.019,1.105e+02,-3.227e-07,2.450e-03,-1.207e-01,2.331e+01
0.021,1.418e+02,-5.532e-07,2.450e-03,-1.909e-01,2.331e+01
0.022,1.737e+02,-9.097e-07,2.450e-03,-2.899e-01,2.331e+01
0.024,2.032e+02,-1.440e-06,2.450e-03,-4.242e-01,2.331e+01
0.025,2.276e+02,-2.203e-06,2.450e-03,-5.997e-01,2.331e+01
0.027,2.442e+02,-3.262e-06,2.450e-03,-8.213e-01,2.331e+01
0.029,2.512e+02,-4.691e-06,2.450e-03,-1.092e+00,2.331e+01
0.030,2.480e+02,-6.564e-06,2.450e-03,-1.414e+00,2.331e+01
0.032,2.397e+02,-8.957e-06,2.450e-03,-1.785e+00,2.331e+01
0.033,2.314e+02,-1.194e-05,2.450e-03,-2.205e+00,2.331e+01
0.035,2.231e+02,-1.560e-05,2.450e-03,-2.672e+00,2.331e+01
0.036,2.148e+02,-1.998e-05,2.450e-03,-3.183e+00,2.331e+01
0.037,2.065e+02,-2.516e-05,2.450e-03,-3.737e+00,2.331e+01
0.039,1.982e+02,-3.121e-05,2.450e-03,-4.332e+00,2.331e+01
0.041,1.899e+02,-3.818e-05,2.450e-03,-4.966e+00,2.331e+01
0.042,1.816e+02,-4.613e-05,2.450e-03,-5.637e+00,2.331e+01
0.043,1.733e+02,-5.511e-05,2.450e-03,-6.344e+00,2.331e+01
0.045,1.650e+02,-6.518e-05,2.450e-03,-7.085e+00,2.331e+01
0.046,1.567e+02,-7.638e-05,2.450e-03,-7.858e+00,2.331e+01
0.048,1.485e+02,-8.877e-05,2.450e-03,-8.660e+00,2.331e+01
0.050,1.402e+02,-1.024e-04,2.450e-03,-9.491e+00,2.331e+01
0.051,1.320e+02,-1.173e-04,2.451e-03,-1.035e+01,2.331e+01
0.052,1.238e+02,-1.334e-04,2.451e-03,-1.123e+01,2.330e+01
0.054,1.156e+02,-1.510e-04,2.451e-03,-1.213e+01,2.330e+01
0.056,1.075e+02,-1.698e-04,2.451e-03,-1.306e+01,2.330e+01
0.057,9.934e+01,-1.901e-04,2.451e-03,-1.400e+01,2.330e+01
0.059,9.124e+01,-2.119e-04,2.451e-03,-1.496e+01,2.330e+01
0.060,8.319e+01,-2.350e-04,2.451e-03,-1.594e+01,2.330e+01
0.061,7.518e+01,-2.597e-04,2.451e-03,-1.693e+01,2.330e+01
0.063,6.721e+01,-2.858e-04,2.451e-03,-1.793e+01,2.330e+01
0.065,5.929e+01,-3.135e-04,2.451e-03,-1.894e+01,2.330e+01
0.066,5.143e+01,-3.427e-04,2.451e-03,-1.996e+01,2.330e+01
0.068,4.363e+01,-3.734e-04,2.452e-03,-2.099e+01,2.330e+01
0.069,3.589e+01,-4.056e-04,2.452e-03,-2.202e+01,2.329e+01
0.070,2.823e+01,-4.394e-04,2.452e-03,-2.305e+01,2.329e+01
0.072,2.065e+01,-4.748e-04,2.452e-03,-2.408e+01,2.329e+01
0.073,1.315e+01,-5.117e-04,2.452e-03,-2.512e+01,2.329e+01
