time (ms),Δθ (π),σ_θ (π)
0.000,0.000,2.450e-03
0.015,-0.000,2.450e-03
0.030,-0.000,2.450e-03
0.045,-0.000,2.450e-03
0.060,-0.000,2.451e-03
0.075,-0.001,2.452e-03
0.090,-0.001,2.454e-03
0.105,-0.002,2.457e-03
0.120,-0.002,2.459e-03
0.135,-0.003,2.461e-03
0.150,-0.004,2.461e-03
0.350,-0.014,2.441e-03
0.550,-0.024,2.454e-03
0.750,-0.034,2.454e-03
0.949,-0.044,2.441e-03
1.149,-0.054,2.462e-03
1.349,-0.064,2.442e-03
1.549,-0.074,2.453e-03
1.749,-0.084,2.455e-03
1.949,-0.094,2.440e-03
2.149,-0.104,2.461e-03
2.349,-0.114,2.443e-03
2.548,-0.124,2.451e-03
2.748,-0.134,2.457e-03
2.948,-0.144,2.439e-03
3.148,-0.154,2.461e-03
3.348,-0.164,2.444e-03
3.548,-0.174,2.449e-03
3.748,-0.184,2.458e-03
3.947,-0.194,2.439e-03
4.147,-0.204,2.460e-03
4.347,-0.214,2.446e-03
4.547,-0.224,2.447e-03
4.747,-0.234,2.459e-03
4.947,-0.244,2.439e-03
5.147,-0.254,2.459e-03
5.347,-0.264,2.447e-03
5.546,-0.274,2.446e-03
5.746,-0.284,2.460e-03
5.946,-0.294,2.439e-03
6.146,-0.304,2.458e-03
6.346,-0.314,2.449e-03
6.546,-0.324,2.444e-03
6.746,-0.334,2.461e-03
6.945,-0.344,2.439e-03
7.145,-0.354,2.457e-03
7.345,-0.364,2.451e-03
7.545,-0.374,2.443e-03
7.745,-0.384,2.461e-03
7.945,-0.394,2.440e-03
8.145,-0.404,2.455e-03
8.345,-0.414,2.453e-03
8.544,-0.424,2.442e-03
8.744,-0.434,2.462e-03
8.944,-0.444,2.441e-03
9.144,-0.454,2.454e-03
9.344,-0.464,2.454e-03
9.544,-0.473,2.441e-03
9.744,-0.484,2.461e-03
9.943,-0.494,2.442e-03
10.143,-0.503,2.452e-03
10.343,-0.514,2.456e-03
10.543,-0.524,2.440e-03
10.743,-0.533,2.461e-03
10.943,-0.543,2.443e-03
11.143,-0.554,2.450e-03
11.343,-0.563,2.457e-03
11.542,-0.573,2.439e-03
11.742,-0.583,2.461e-03
11.942,-0.593,2.445e-03
12.142,-0.603,2.448e-03
12.342,-0.613,2.459e-03
12.542,-0.623,2.439e-03
12.742,-0.633,2.460e-03
12.941,-0.643,2.447e-03
13.141,-0.653,2.447e-03
13.341,-0.663,2.460e-03
13.541,-0.673,2.439e-03
13.741,-0.683,2.459e-03
13.941,-0.693,2.448e-03
14.141,-0.703,2.445e-03
14.341,-0.713,2.461e-03
14.540,-0.723,2.439e-03
14.740,-0.733,2.457e-03
14.940,-0.743,2.450e-03
15.140,-0.753,2.444e-03
15.340,-0.763,2.461e-03
15.540,-0.773,2.440e-03
15.740,-0.783,2.456e-03
15.939,-0.793,2.452e-03
16.139,-0.803,2.442e-03
16.339,-0.813,2.461e-03
16.539,-0.823,2.441e-03
16.739,-0.833,2.454e-03
16.939,-0.843,2.453e-03
17.139,-0.853,2.441e-03
17.339,-0.863,2.462e-03
17.538,-0.873,2.442e-03
17.738,-0.883,2.453e-03
17.938,-0.893,2.455e-03
18.138,-0.903,2.440e-03
18.338,-0.913,2.461e-03
18.538,-0.923,2.443e-03
18.738,-0.933,2.451e-03
18.937,-0.943,2.457e-03
19.137,-0.953,2.440e-03
19.337,-0.963,2.461e-03
19.537,-0.973,2.444e-03
19.737,-0.983,2.449e-03
19.937,-0.993,2.458e-03
20.137,-1.003,2.439e-03
20.337,-1.013,2.460e-03
20.536,-1.023,2.446e-03
20.736,-1.033,2.448e-03
20.936,-1.043,2.459e-03
21.136,-1.053,2.439e-03
21.336,-1.063,2.459e-03
21.536,-1.073,2.447e-03
21.736,-1.083,2.446e-03
21.935,-1.093,2.460e-03
22.135,-1.103,2.439e-03
22.335,-1.113,2.458e-03
22.535,-1.123,2.449e-03
22.735,-1.133,2.444e-03
22.935,-1.143,2.461e-03
23.135,-1.153,2.439e-03
23.335,-1.163,2.457e-03
23.534,-1.173,2.451e-03
23.734,-1.183,2.443e-03
23.934,-1.193,2.461e-03
24.134,-1.203,2.440e-03
24.334,-1.213,2.455e-03
24.534,-1.223,2.452e-03
24.734,-1.233,2.442e-03
24.933,-1.243,2.462e-03
25.133,-1.253,2.441e-03
25.333,-1.263,2.454e-03
25.533,-1.273,2.454e-03
25.733,-1.283,2.441e-03
25.933,-1.293,2.461e-03
26.133,-1.303,2.442e-03
26.333,-1.313,2.452e-03
