time (ms),ω (π/sec),Δθ (π),σ_θ (π),p (Mπ/sec),σ_p (Mπ/sec)
0.000,7.464e-32,3.534e-17,2.450e-03,-6.699e-14,2.331e+01
0.002,1.431e-02,6.717e-09,2.450e-03,1.431e-02,2.331e+01
0.003,8.123e-02,6.804e-08,2.450e-03,8.122e-02,2.331e+01
0.004,2.823e-01,3.154e-07,2.450e-03,2.823e-01,2.331e+01
0.006,7.847e-01,1.062e-06,2.450e-03,7.846e-01,2.331e+01
0.007,1.883e+00,2.961e-06,2.450e-03,1.883e+00,2.331e+01
0.009,4.043e+00,7.232e-06,2.450e-03,4.042e+00,2.331e+01
0.011,7.923e+00,1.593e-05,2.450e-03,7.921e+00,2.331e+01
0.012,1.436e+01,3.226e-05,2.450e-03,1.436e+01,2.331e+01
0.013,2.429e+01,6.073e-05,2.450e-03,2.428e+01,2.331e+01
0.015,3.857e+01,1.072e-04,2.450e-03,3.855e+01,2.331e+01
0.017,5.778e+01,1.788e-04,2.450e-03,5.774e+01,2.331e+01
0.018,8.198e+01,2.829e-04,2.450e-03,8.191e+01,2.331e+01
0.019,1.105e+02,4.267e-04,2.450e-03,1.104e+02,2.331e+01
0.021,1.418e+02,6.155e-04,2.450e-03,1.416e+02,2.331e+01
0.022,1.737e+02,8.518e-04,2.450e-03,1.734e+02,2.331e+01
0.024,2.032e+02,1.134e-03,2.450e-03,2.028e+02,2.331e+01
0.025,2.276e+02,1.458e-03,2.450e-03,2.270e+02,2.331e+01
0.027,2.442e+02,1.812e-03,2.450e-03,2.434e+02,2.331e+01
0.029,2.512e+02,2.183e-03,2.450e-03,2.501e+02,2.331e+01
0.030,2.480e+02,2.557e-03,2.450e-03,2.466e+02,2.331e+01
0.032,2.397e+02,2.920e-03,2.450e-03,2.379e+02,2.331e+01
0.033,2.314e+02,3.271e-03,2.450e-03,2.292e+02,2.331e+01
0.035,2.231e+02,3.608e-03,2.450e-03,2.204e+02,2.331e+01
0.036,2.148e+02,3.932e-03,2.450e-03,2.116e+02,2.331e+01
0.037,2.065e+02,4.243e-03,2.450e-03,2.027e+02,2.331e+01
0.039,1.982e+02,4.540e-03,2.450e-03,1.938e+02,2.331e+01
0.041,1.899e+02,4.824e-03,2.450e-03,1.849e+02,2.331e+01
0.042,1.816e+02,5.095e-03,2.450e-03,1.759e+02,2.331e+01
0.043,1.733e+02,5.352e-03,2.450e-03,1.669e+02,2.331e+01
0.045,1.650e+02,5.595e-03,2.450e-03,1.579e+02,2.331e+01
0.046,1.567e+02,5.825e-03,2.450e-03,1.489e+02,2.331e+01
0.048,1.485e+02,6.042e-03,2.450e-03,1.398e+02,2.331e+01
0.050,1.402e+02,6.245e-03,2.450e-03,1.307e+02,2.331e+01
0.051,1.320e+02,6.434e-03,2.451e-03,1.217e+02,2.331e+01
0.052,1.238e+02,6.610e-03,2.451e-03,1.126e+02,2.330e+01
0.054,1.156e+02,6.772e-03,2.451e-03,1.035e+02,2.330e+01
0.056,1.075e+02,6.920e-03,2.451e-03,9.440e+01,2.330e+01
0.057,9.934e+01,7.055e-03,2.451e-03,8.533e+01,2.330e+01
0.059,9.124e+01,7.176e-03,2.451e-03,7.628e+01,2.330e+01
0.060,8.319e+01,7.284e-03,2.451e-03,6.725e+01,2.330e+01
0.061,7.518e+01,7.378e-03,2.451e-03,5.825e+01,2.330e+01
0.063,6.721e+01,7.459e-03,2.451e-03,4.928e+01,2.330e+01
0.065,5.929e+01,7.526e-03,2.451e-03,4.035e+01,2.330e+01
0.066,5.143e+01,7.580e-03,2.451e-03,3.147e+01,2.330e+01
0.068,4.363e+01,7.620e-03,2.452e-03,2.264e+01,2.330e+01
0.069,3.589e+01,7.648e-03,2.452e-03,1.388e+01,2.329e+01
0.070,2.823e+01,7.662e-03,2.452e-03,5.182e+00,2.329e+01
0.072,2.065e+01,7.663e-03,2.452e-03,-3.435e+00,2.329e+01
0.073,1.315e+01,7.652e-03,2.452e-03,-1.197e+01,2.329e+01
0.075,5.737e+00,7.627e-03,2.452e-03,-2.041e+01,2.329e+01
0.076,-1.578e+00,7.591e-03,2.452e-03,-2.875e+01,2.329e+01
0.078,-8.791e+00,7.541e-03,2.453e-03,-3.698e+01,2.329e+01
0.080,-1.590e+01,7.480e-03,2.453e-03,-4.510e+01,2.328e+01
0.081,-2.289e+01,7.406e-03,2.453e-03,-5.310e+01,2.328e+01
0.083,-2.976e+01,7.320e-03,2.453e-03,-6.096e+01,2.328e+01
0.084,-3.651e+01,7.223e-03,2.453e-03,-6.869e+01,2.328e+01
0.086,-4.312e+01,7.114e-03,2.454e-03,-7.628e+01,2.328e+01
0.087,-4.960e+01,6.994e-03,2.454e-03,-8.371e+01,2.327e+01
0.088,-5.595e+01,6.863e-03,2.454e-03,-9.099e+01,2.327e+01
0.090,-6.214e+01,6.721e-03,2.454e-03,-9.811e+01,2.327e+01
0.091,-6.820e+01,6.569e-03,2.455e-03,-1.051e+02,2.327e+01
0.093,-7.410e+01,6.406e-03,2.455e-03,-1.118e+02,2.326e+01
0.095,-7.984e+01,6.234e-03,2.455e-03,-1.184e+02,2.326e+01
0.096,-8.544e+01,6.051e-03,2.455e-03,-1.249e+02,2.326e+01
0.098,-9.087e+01,5.859e-03,2.456e-03,-1.311e+02,2.326e+01
0.099,-9.615e+01,5.658e-03,2.456e-03,-1.372e+02,2.326e+01
0.101,-1.013e+02,5.448e-03,2.456e-03,-1.430e+02,2.325e+01
0.102,-1.062e+02,5.229e-03,2.456e-03,-1.487e+02,2.325e+01
0.103,-1.110e+02,5.002e-03,2.457e-03,-1.542e+02,2.325e+01
0.105,-1.157e+02,4.767e-03,2.457e-03,-1.595e+02,2.325e+01
0.106,-1.202e+02,4.523e-03,2.457e-03,-1.646e+02,2.324e+01
0.108,-1.245e+02,4.273e-03,2.457e-03,-1.696e+02,2.324e+01
0.110,-1.287e+02,4.015e-03,2.458e-03,-1.743e+02,2.324e+01
0.111,-1.327e+02,3.750e-03,2.458e-03,-1.789e+02,2.324e+01
0.113,-1.366e+02,3.478e-03,2.458e-03,-1.833e+02,2.324e+01
0.114,-1.404e+02,3.200e-03,2.458e-03,-1.875e+02,2.323e+01
0.116,-1.440e+02,2.916e-03,2.458e-03,-1.915e+02,2.323e+01
0.117,-1.475e+02,2.626e-03,2.459e-03,-1.954e+02,2.323e+01
0.118,-1.509e+02,2.330e-03,2.459e-03,-1.992e+02,2.323e+01
0.120,-1.542e+02,2.028e-03,2.459e-03,-2.027e+02,2.322e+01
0.121,-1.533e+02,1.724e-03,2.459e-03,-2.021e+02,2.322e+01
0.123,-1.445e+02,1.426e-03,2.459e-03,-1.935e+02,2.322e+01
0.124,-1.288e+02,1.147e-03,2.460e-03,-1.780e+02,2.322e+01
0.126,-1.079e+02,8.947e-04,2.460e-03,-1.572e+02,2.322e+01
0.128,-8.385e+01,6.766e-04,2.460e-03,-1.332e+02,2.322e+01
0.129,-5.876e+01,4.955e-04,2.460e-03,-1.082e+02,2.321e+01
0.131,-3.458e+01,3.514e-04,2.460e-03,-8.411e+01,2.321e+01
0.132,-1.280e+01,2.419e-04,2.460e-03,-6.237e+01,2.321e+01
0.134,5.604e+00,1.626e-04,2.461e-03,-4.400e+01,2.321e+01
0.135,2.022e+01,1.081e-04,2.461e-03,-2.940e+01,2.321e+01
0.137,3.112e+01,7.259e-05,2.461e-03,-1.852e+01,2.321e+01
0.138,3.874e+01,5.090e-05,2.461e-03,-1.090e+01,2.321e+01
0.140,4.372e+01,3.857e-05,2.461e-03,-5.928e+00,2.321e+01
0.141,4.675e+01,3.215e-05,2.461e-03,-2.901e+00,2.321e+01
0.142,4.846e+01,2.921e-05,2.461e-03,-1.198e+00,2.320e+01
0.144,4.934e+01,2.816e-05,2.461e-03,-3.190e-01,2.320e+01
0.145,4.975e+01,2.803e-05,2.461e-03,9.063e-02,2.320e+01
0.147,4.993e+01,2.831e-05,2.461e-03,2.587e-01,2.320e+01
0.148,4.999e+01,2.875e-05,2.461e-03,3.156e-01,2.320e+01
0.150,5.000e+01,2.923e-05,2.461e-03,3.256e-01,2.320e+01
0.170,5.000e+01,3.518e-05,2.461e-03,2.672e-01,2.320e+01
0.190,5.000e+01,3.985e-05,2.459e-03,1.992e-01,2.322e+01
0.210,5.000e+01,4.309e-05,2.456e-03,1.239e-01,2.325e+01
0.230,5.000e+01,4.478e-05,2.452e-03,4.422e-02,2.329e+01
0.250,5.000e+01,4.485e-05,2.448e-03,-3.709e-02,2.333e+01
0.270,5.000e+01,4.330e-05,2.444e-03,-1.171e-01,2.337e+01
0.290,5.000e+01,4.020e-05,2.441e-03,-1.928e-01,2.340e+01
0.310,5.000e+01,3.564e-05,2.439e-03,-2.616e-01,2.341e+01
0.330,5.000e+01,2.980e-05,2.439e-03,-3.209e-01,2.341e+01
0.350,5.000e+01,2.289e-05,2.441e-03,-3.687e-01,2.340e+01
0.370,5.000e+01,1.515e-05,2.444e-03,-4.032e-01,2.337e+01
0.390,5.000e+01,6.869e-06,2.447e-03,-4.232e-01,2.334e+01
0.410,5.000e+01,-1.662e-06,2.452e-03,-4.279e-01,2.330e+01
0.430,5.000e+01,-1.013e-05,2.456e-03,-4.172e-01,2.326e+01
0.450,5.000e+01,-1.824e-05,2.459e-03,-3.915e-01,2.323e+01
0.470,5.000e+01,-2.569e-05,2.461e-03,-3.517e-01,2.321e+01
0.490,5.000e+01,-3.221e-05,2.462e-03,-2.992e-01,2.320e+01
0.510,5.000e+01,-3.757e-05,2.460e-03,-2.359e-01,2.321e+01
0.530,5.000e+01,-4.158e-05,2.458e-03,-1.641e-01,2.324e+01
0.550,5.000e+01,-4.409e-05,2.454e-03,-8.635e-02,2.327e+01
0.570,5.000e+01,-4.501e-05,2.450e-03,-5.510e-03,2.331e+01
